track_number,song_title,artist,album,year,genre,voice
1,Tears,Sabrina Carpenter,Man's Best Friend,2025,Pop/Disco-pop,Female
2,What Have You Done For Me Lately,Janet Jackson,Control,1986,Dance-pop/Funk/R&B,Female
